Prepare: check process on cuda: 2...
Start: create dataset: [alpha: 0.75], [beta: 25.0]
              Loss: [Train: p = 1.02257, q = 1.20661], 
              Loss: [Test: p = 1.03254, q = 1.23379],
              Effect: [ate-q], [train: 0.20417], [test: 0.20466]
********************************************************************************
Finish: epoch: 233 / 500, time cost: 40.21 sec, 
              Loss: [Train: p = 1.02244, q = 1.20620], 
              Loss: [Test: p = 1.03245, q = 1.23345],
              Effect: [ate-q], [train: 0.19472], [test: 0.19521]
********************************************************************************
Finish: epoch: 234 / 500, time cost: 37.55 sec, 
              Loss: [Train: p = 1.02231, q = 1.20592], 
              Loss: [Test: p = 1.03240, q = 1.23352],
              Effect: [ate-q], [train: 0.20568], [test: 0.20619]
********************************************************************************
Finish: epoch: 235 / 500, time cost: 38.00 sec, 
              Loss: [Train: p = 1.02235, q = 1.20563], 
              Loss: [Test: p = 1.03234, q = 1.23390],
              Effect: [ate-q], [train: 0.20546], [test: 0.20597]
********************************************************************************
Finish: epoch: 236 / 500, time cost: 37.59 sec, 
              Loss: [Train: p = 1.02216, q = 1.20521], 
              Loss: [Test: p = 1.03231, q = 1.23418],
              Effect: [ate-q], [train: 0.20812], [test: 0.20864]
********************************************************************************
Finish: epoch: 237 / 500, time cost: 37.49 sec, 
              Loss: [Train: p = 1.02212, q = 1.20487], 
              Loss: [Test: p = 1.03226, q = 1.23363],
              Effect: [ate-q], [train: 0.20225], [test: 0.20277]
********************************************************************************
Finish: epoch: 238 / 500, time cost: 40.27 sec, 
              Loss: [Train: p = 1.02196, q = 1.20434], 
              Loss: [Test: p = 1.03223, q = 1.23377],
              Effect: [ate-q], [train: 0.19950], [test: 0.20002]
********************************************************************************
Finish: epoch: 239 / 500, time cost: 37.80 sec, 
              Loss: [Train: p = 1.02194, q = 1.20434], 
              Loss: [Test: p = 1.03218, q = 1.23360],
              Effect: [ate-q], [train: 0.20216], [test: 0.20269]
********************************************************************************
Finish: epoch: 240 / 500, time cost: 37.78 sec, 
              Loss: [Train: p = 1.02189, q = 1.20391], 
              Loss: [Test: p = 1.03214, q = 1.23384],
              Effect: [ate-q], [train: 0.20063], [test: 0.20117]
********************************************************************************
Finish: epoch: 241 / 500, time cost: 37.20 sec, 
              Loss: [Train: p = 1.02182, q = 1.20371], 
              Loss: [Test: p = 1.03207, q = 1.23379],
              Effect: [ate-q], [train: 0.19953], [test: 0.20009]
********************************************************************************
Finish: epoch: 242 / 500, time cost: 39.93 sec, 
              Loss: [Train: p = 1.02161, q = 1.20364], 
              Loss: [Test: p = 1.03205, q = 1.23397],
              Effect: [ate-q], [train: 0.18965], [test: 0.19019]
********************************************************************************
Finish: epoch: 243 / 500, time cost: 37.97 sec, 
              Loss: [Train: p = 1.02170, q = 1.20328], 
              Loss: [Test: p = 1.03194, q = 1.23400],
              Effect: [ate-q], [train: 0.19714], [test: 0.19770]
********************************************************************************
Finish: epoch: 244 / 500, time cost: 37.97 sec, 
              Loss: [Train: p = 1.02157, q = 1.20273], 
              Loss: [Test: p = 1.03194, q = 1.23368],
              Effect: [ate-q], [train: 0.20043], [test: 0.20099]
********************************************************************************
Finish: epoch: 245 / 500, time cost: 37.55 sec, 
              Loss: [Train: p = 1.02152, q = 1.20239], 
              Loss: [Test: p = 1.03186, q = 1.23367],
              Effect: [ate-q], [train: 0.19997], [test: 0.20054]
********************************************************************************
Finish: epoch: 246 / 500, time cost: 39.79 sec, 
              Loss: [Train: p = 1.02141, q = 1.20216], 
              Loss: [Test: p = 1.03181, q = 1.23361],
              Effect: [ate-q], [train: 0.19907], [test: 0.19965]
********************************************************************************
Finish: epoch: 247 / 500, time cost: 37.76 sec, 
              Loss: [Train: p = 1.02116, q = 1.20214], 
              Loss: [Test: p = 1.03171, q = 1.23375],
              Effect: [ate-q], [train: 0.20969], [test: 0.21029]
********************************************************************************
Finish: epoch: 248 / 500, time cost: 37.17 sec, 
              Loss: [Train: p = 1.02115, q = 1.20176], 
              Loss: [Test: p = 1.03170, q = 1.23399],
              Effect: [ate-q], [train: 0.19913], [test: 0.19972]
********************************************************************************
Finish: epoch: 249 / 500, time cost: 37.67 sec, 
              Loss: [Train: p = 1.02109, q = 1.20113], 
              Loss: [Test: p = 1.03169, q = 1.23389],
              Effect: [ate-q], [train: 0.19802], [test: 0.19861]
********************************************************************************
Finish: epoch: 250 / 500, time cost: 37.91 sec, 
              Loss: [Train: p = 1.02106, q = 1.20070], 
              Loss: [Test: p = 1.03159, q = 1.23374],
              Effect: [ate-q], [train: 0.19331], [test: 0.19390]
********************************************************************************
Finish: epoch: 251 / 500, time cost: 39.78 sec, 
              Loss: [Train: p = 1.02098, q = 1.20064], 
              Loss: [Test: p = 1.03157, q = 1.23455],
              Effect: [ate-q], [train: 0.19539], [test: 0.19599]
********************************************************************************
Finish: epoch: 252 / 500, time cost: 37.55 sec, 
              Loss: [Train: p = 1.02087, q = 1.20045], 
              Loss: [Test: p = 1.03151, q = 1.23354],
              Effect: [ate-q], [train: 0.20456], [test: 0.20519]
********************************************************************************
Finish: epoch: 253 / 500, time cost: 36.44 sec, 
              Loss: [Train: p = 1.02077, q = 1.19978], 
              Loss: [Test: p = 1.03146, q = 1.23457],
              Effect: [ate-q], [train: 0.20220], [test: 0.20283]
********************************************************************************
Finish: epoch: 254 / 500, time cost: 36.29 sec, 
              Loss: [Train: p = 1.02071, q = 1.19979], 
              Loss: [Test: p = 1.03142, q = 1.23381],
              Effect: [ate-q], [train: 0.19958], [test: 0.20021]
********************************************************************************
Finish: epoch: 255 / 500, time cost: 39.92 sec, 
              Loss: [Train: p = 1.02064, q = 1.19889], 
              Loss: [Test: p = 1.03135, q = 1.23398],
              Effect: [ate-q], [train: 0.19286], [test: 0.19350]
********************************************************************************
Finish: epoch: 256 / 500, time cost: 37.75 sec, 
              Loss: [Train: p = 1.02053, q = 1.19935], 
              Loss: [Test: p = 1.03131, q = 1.23371],
              Effect: [ate-q], [train: 0.19861], [test: 0.19927]
********************************************************************************
Finish: epoch: 257 / 500, time cost: 38.05 sec, 
              Loss: [Train: p = 1.02054, q = 1.19850], 
              Loss: [Test: p = 1.03129, q = 1.23408],
              Effect: [ate-q], [train: 0.19386], [test: 0.19451]
********************************************************************************
Finish: epoch: 258 / 500, time cost: 37.97 sec, 
              Loss: [Train: p = 1.02028, q = 1.19853], 
              Loss: [Test: p = 1.03124, q = 1.23366],
              Effect: [ate-q], [train: 0.19642], [test: 0.19709]
********************************************************************************
Finish: epoch: 259 / 500, time cost: 40.21 sec, 
              Loss: [Train: p = 1.02026, q = 1.19800], 
              Loss: [Test: p = 1.03118, q = 1.23411],
              Effect: [ate-q], [train: 0.20088], [test: 0.20155]
********************************************************************************
Finish: epoch: 260 / 500, time cost: 38.16 sec, 
              Loss: [Train: p = 1.02038, q = 1.19747], 
              Loss: [Test: p = 1.03113, q = 1.23334],
              Effect: [ate-q], [train: 0.20525], [test: 0.20594]
********************************************************************************
Finish: epoch: 261 / 500, time cost: 38.16 sec, 
              Loss: [Train: p = 1.02015, q = 1.19820], 
              Loss: [Test: p = 1.03106, q = 1.23376],
              Effect: [ate-q], [train: 0.19799], [test: 0.19868]
********************************************************************************
Finish: epoch: 262 / 500, time cost: 37.38 sec, 
              Loss: [Train: p = 1.02000, q = 1.19679], 
              Loss: [Test: p = 1.03103, q = 1.23382],
              Effect: [ate-q], [train: 0.19467], [test: 0.19536]
********************************************************************************
Finish: epoch: 263 / 500, time cost: 38.37 sec, 
              Loss: [Train: p = 1.02002, q = 1.19647], 
              Loss: [Test: p = 1.03095, q = 1.23375],
              Effect: [ate-q], [train: 0.19738], [test: 0.19809]
********************************************************************************
Finish: epoch: 264 / 500, time cost: 39.68 sec, 
              Loss: [Train: p = 1.01988, q = 1.19672], 
              Loss: [Test: p = 1.03091, q = 1.23414],
              Effect: [ate-q], [train: 0.19980], [test: 0.20052]
********************************************************************************
Finish: epoch: 265 / 500, time cost: 37.87 sec, 
              Loss: [Train: p = 1.01989, q = 1.19595], 
              Loss: [Test: p = 1.03085, q = 1.23434],
              Effect: [ate-q], [train: 0.19374], [test: 0.19446]
********************************************************************************
Finish: epoch: 266 / 500, time cost: 37.76 sec, 
              Loss: [Train: p = 1.01976, q = 1.19577], 
              Loss: [Test: p = 1.03082, q = 1.23446],
              Effect: [ate-q], [train: 0.20797], [test: 0.20871]
********************************************************************************
Finish: epoch: 267 / 500, time cost: 37.80 sec, 
              Loss: [Train: p = 1.01975, q = 1.19579], 
              Loss: [Test: p = 1.03079, q = 1.23429],
              Effect: [ate-q], [train: 0.20024], [test: 0.20097]
********************************************************************************
Finish: epoch: 268 / 500, time cost: 43.88 sec, 
              Loss: [Train: p = 1.01965, q = 1.19500], 
              Loss: [Test: p = 1.03072, q = 1.23432],
              Effect: [ate-q], [train: 0.20069], [test: 0.20143]
********************************************************************************
Finish: epoch: 269 / 500, time cost: 41.33 sec, 
              Loss: [Train: p = 1.01956, q = 1.19450], 
              Loss: [Test: p = 1.03071, q = 1.23434],
              Effect: [ate-q], [train: 0.19874], [test: 0.19948]
********************************************************************************
Finish: epoch: 270 / 500, time cost: 39.96 sec, 
              Loss: [Train: p = 1.01937, q = 1.19449], 
              Loss: [Test: p = 1.03067, q = 1.23431],
              Effect: [ate-q], [train: 0.19804], [test: 0.19880]
********************************************************************************
Finish: epoch: 271 / 500, time cost: 40.36 sec, 
              Loss: [Train: p = 1.01932, q = 1.19446], 
              Loss: [Test: p = 1.03056, q = 1.23413],
              Effect: [ate-q], [train: 0.19842], [test: 0.19919]
********************************************************************************
Finish: epoch: 272 / 500, time cost: 41.14 sec, 
              Loss: [Train: p = 1.01933, q = 1.19369], 
              Loss: [Test: p = 1.03054, q = 1.23401],
              Effect: [ate-q], [train: 0.19472], [test: 0.19549]
********************************************************************************
Finish: epoch: 273 / 500, time cost: 39.63 sec, 
              Loss: [Train: p = 1.01926, q = 1.19303], 
              Loss: [Test: p = 1.03048, q = 1.23439],
              Effect: [ate-q], [train: 0.19763], [test: 0.19842]
********************************************************************************
Finish: epoch: 274 / 500, time cost: 38.60 sec, 
              Loss: [Train: p = 1.01915, q = 1.19349], 
              Loss: [Test: p = 1.03049, q = 1.23483],
              Effect: [ate-q], [train: 0.19258], [test: 0.19336]
********************************************************************************
Finish: epoch: 275 / 500, time cost: 38.32 sec, 
              Loss: [Train: p = 1.01918, q = 1.19260], 
              Loss: [Test: p = 1.03043, q = 1.23468],
              Effect: [ate-q], [train: 0.19742], [test: 0.19823]
********************************************************************************
Finish: epoch: 276 / 500, time cost: 37.03 sec, 
              Loss: [Train: p = 1.01896, q = 1.19240], 
              Loss: [Test: p = 1.03039, q = 1.23494],
              Effect: [ate-q], [train: 0.19544], [test: 0.19625]
********************************************************************************
Finish: epoch: 277 / 500, time cost: 40.22 sec, 
              Loss: [Train: p = 1.01888, q = 1.19182], 
              Loss: [Test: p = 1.03034, q = 1.23508],
              Effect: [ate-q], [train: 0.18994], [test: 0.19074]
********************************************************************************
Finish: epoch: 278 / 500, time cost: 38.53 sec, 
              Loss: [Train: p = 1.01884, q = 1.19183], 
              Loss: [Test: p = 1.03029, q = 1.23475],
              Effect: [ate-q], [train: 0.19599], [test: 0.19681]
********************************************************************************
Finish: epoch: 279 / 500, time cost: 38.21 sec, 
              Loss: [Train: p = 1.01890, q = 1.19168], 
              Loss: [Test: p = 1.03026, q = 1.23492],
              Effect: [ate-q], [train: 0.19297], [test: 0.19382]
********************************************************************************
Finish: epoch: 280 / 500, time cost: 38.05 sec, 
              Loss: [Train: p = 1.01873, q = 1.19073], 
              Loss: [Test: p = 1.03017, q = 1.23485],
              Effect: [ate-q], [train: 0.20247], [test: 0.20331]
********************************************************************************
Finish: epoch: 281 / 500, time cost: 40.01 sec, 
              Loss: [Train: p = 1.01874, q = 1.19056], 
              Loss: [Test: p = 1.03014, q = 1.23470],
              Effect: [ate-q], [train: 0.19291], [test: 0.19375]
********************************************************************************
Finish: epoch: 282 / 500, time cost: 38.11 sec, 
              Loss: [Train: p = 1.01867, q = 1.18960], 
              Loss: [Test: p = 1.03011, q = 1.23475],
              Effect: [ate-q], [train: 0.19044], [test: 0.19129]
********************************************************************************
Finish: epoch: 283 / 500, time cost: 37.94 sec, 
              Loss: [Train: p = 1.01850, q = 1.18986], 
              Loss: [Test: p = 1.03003, q = 1.23463],
              Effect: [ate-q], [train: 0.18828], [test: 0.18914]
********************************************************************************
Finish: epoch: 284 / 500, time cost: 38.08 sec, 
              Loss: [Train: p = 1.01847, q = 1.18969], 
              Loss: [Test: p = 1.03000, q = 1.23495],
              Effect: [ate-q], [train: 0.19835], [test: 0.19924]
********************************************************************************
Finish: epoch: 285 / 500, time cost: 38.28 sec, 
              Loss: [Train: p = 1.01825, q = 1.18915], 
              Loss: [Test: p = 1.02996, q = 1.23496],
              Effect: [ate-q], [train: 0.19231], [test: 0.19320]
********************************************************************************
Finish: epoch: 286 / 500, time cost: 39.79 sec, 
              Loss: [Train: p = 1.01830, q = 1.18886], 
              Loss: [Test: p = 1.02988, q = 1.23508],
              Effect: [ate-q], [train: 0.19709], [test: 0.19798]
********************************************************************************
Finish: epoch: 287 / 500, time cost: 37.95 sec, 
              Loss: [Train: p = 1.01822, q = 1.18874], 
              Loss: [Test: p = 1.02986, q = 1.23475],
              Effect: [ate-q], [train: 0.19082], [test: 0.19172]
********************************************************************************
Finish: epoch: 288 / 500, time cost: 37.97 sec, 
              Loss: [Train: p = 1.01815, q = 1.18796], 
              Loss: [Test: p = 1.02989, q = 1.23555],
              Effect: [ate-q], [train: 0.18918], [test: 0.19007]
********************************************************************************
Finish: epoch: 289 / 500, time cost: 38.04 sec, 
              Loss: [Train: p = 1.01807, q = 1.18752], 
              Loss: [Test: p = 1.02982, q = 1.23498],
              Effect: [ate-q], [train: 0.19389], [test: 0.19480]
********************************************************************************
Finish: epoch: 290 / 500, time cost: 39.85 sec, 
              Loss: [Train: p = 1.01791, q = 1.18744], 
              Loss: [Test: p = 1.02977, q = 1.23542],
              Effect: [ate-q], [train: 0.19271], [test: 0.19364]
********************************************************************************
Finish: epoch: 291 / 500, time cost: 37.83 sec, 
              Loss: [Train: p = 1.01788, q = 1.18737], 
              Loss: [Test: p = 1.02971, q = 1.23550],
              Effect: [ate-q], [train: 0.19322], [test: 0.19415]
********************************************************************************
Finish: epoch: 292 / 500, time cost: 37.91 sec, 
              Loss: [Train: p = 1.01789, q = 1.18656], 
              Loss: [Test: p = 1.02967, q = 1.23552],
              Effect: [ate-q], [train: 0.19892], [test: 0.19986]
********************************************************************************
Finish: epoch: 293 / 500, time cost: 37.67 sec, 
              Loss: [Train: p = 1.01780, q = 1.18570], 
              Loss: [Test: p = 1.02963, q = 1.23549],
              Effect: [ate-q], [train: 0.20290], [test: 0.20386]
********************************************************************************
Finish: epoch: 294 / 500, time cost: 40.09 sec, 
              Loss: [Train: p = 1.01770, q = 1.18543], 
              Loss: [Test: p = 1.02953, q = 1.23614],
              Effect: [ate-q], [train: 0.19522], [test: 0.19619]
********************************************************************************
Finish: epoch: 295 / 500, time cost: 38.07 sec, 
              Loss: [Train: p = 1.01767, q = 1.18506], 
              Loss: [Test: p = 1.02956, q = 1.23616],
              Effect: [ate-q], [train: 0.20217], [test: 0.20315]
********************************************************************************
Finish: epoch: 296 / 500, time cost: 37.88 sec, 
              Loss: [Train: p = 1.01752, q = 1.18533], 
              Loss: [Test: p = 1.02951, q = 1.23535],
              Effect: [ate-q], [train: 0.18653], [test: 0.18751]
********************************************************************************
Finish: epoch: 297 / 500, time cost: 37.89 sec, 
              Loss: [Train: p = 1.01746, q = 1.18486], 
              Loss: [Test: p = 1.02946, q = 1.23593],
              Effect: [ate-q], [train: 0.19261], [test: 0.19359]
********************************************************************************
Finish: epoch: 298 / 500, time cost: 39.94 sec, 
              Loss: [Train: p = 1.01747, q = 1.18446], 
              Loss: [Test: p = 1.02942, q = 1.23571],
              Effect: [ate-q], [train: 0.19150], [test: 0.19251]
********************************************************************************
Finish: epoch: 299 / 500, time cost: 42.52 sec, 
              Loss: [Train: p = 1.01723, q = 1.18418], 
              Loss: [Test: p = 1.02937, q = 1.23626],
              Effect: [ate-q], [train: 0.19327], [test: 0.19428]
********************************************************************************
Finish: epoch: 300 / 500, time cost: 40.99 sec, 
              Loss: [Train: p = 1.01718, q = 1.18386], 
              Loss: [Test: p = 1.02933, q = 1.23587],
              Effect: [ate-q], [train: 0.19842], [test: 0.19943]
********************************************************************************
Finish: epoch: 301 / 500, time cost: 45.02 sec, 
              Loss: [Train: p = 1.01715, q = 1.18370], 
              Loss: [Test: p = 1.02928, q = 1.23623],
              Effect: [ate-q], [train: 0.18754], [test: 0.18857]
********************************************************************************
Finish: epoch: 302 / 500, time cost: 39.24 sec, 
              Loss: [Train: p = 1.01709, q = 1.18296], 
              Loss: [Test: p = 1.02923, q = 1.23643],
              Effect: [ate-q], [train: 0.20139], [test: 0.20243]
********************************************************************************
Finish: epoch: 303 / 500, time cost: 39.37 sec, 
              Loss: [Train: p = 1.01713, q = 1.18227], 
              Loss: [Test: p = 1.02921, q = 1.23632],
              Effect: [ate-q], [train: 0.19487], [test: 0.19593]
********************************************************************************
Finish: epoch: 304 / 500, time cost: 39.40 sec, 
              Loss: [Train: p = 1.01700, q = 1.18219], 
              Loss: [Test: p = 1.02916, q = 1.23691],
              Effect: [ate-q], [train: 0.19473], [test: 0.19580]
********************************************************************************
Finish: epoch: 305 / 500, time cost: 40.15 sec, 
              Loss: [Train: p = 1.01687, q = 1.18196], 
              Loss: [Test: p = 1.02913, q = 1.23668],
              Effect: [ate-q], [train: 0.19458], [test: 0.19564]
********************************************************************************
Finish: epoch: 306 / 500, time cost: 38.81 sec, 
              Loss: [Train: p = 1.01683, q = 1.18144], 
              Loss: [Test: p = 1.02912, q = 1.23712],
              Effect: [ate-q], [train: 0.19435], [test: 0.19544]
********************************************************************************
Finish: epoch: 307 / 500, time cost: 44.68 sec, 
              Loss: [Train: p = 1.01673, q = 1.18093], 
              Loss: [Test: p = 1.02904, q = 1.23635],
              Effect: [ate-q], [train: 0.19785], [test: 0.19894]
********************************************************************************
Finish: epoch: 308 / 500, time cost: 41.36 sec, 
              Loss: [Train: p = 1.01677, q = 1.18026], 
              Loss: [Test: p = 1.02903, q = 1.23692],
              Effect: [ate-q], [train: 0.19577], [test: 0.19687]
********************************************************************************
Finish: epoch: 309 / 500, time cost: 42.38 sec, 
              Loss: [Train: p = 1.01655, q = 1.18056], 
              Loss: [Test: p = 1.02900, q = 1.23657],
              Effect: [ate-q], [train: 0.19294], [test: 0.19403]
********************************************************************************
Finish: epoch: 310 / 500, time cost: 38.08 sec, 
              Loss: [Train: p = 1.01654, q = 1.18003], 
              Loss: [Test: p = 1.02892, q = 1.23711],
              Effect: [ate-q], [train: 0.19554], [test: 0.19665]
********************************************************************************
Finish: epoch: 311 / 500, time cost: 37.69 sec, 
              Loss: [Train: p = 1.01639, q = 1.17946], 
              Loss: [Test: p = 1.02886, q = 1.23694],
              Effect: [ate-q], [train: 0.19699], [test: 0.19813]
********************************************************************************
Finish: epoch: 312 / 500, time cost: 40.38 sec, 
              Loss: [Train: p = 1.01645, q = 1.17976], 
              Loss: [Test: p = 1.02882, q = 1.23754],
              Effect: [ate-q], [train: 0.19599], [test: 0.19713]
********************************************************************************
Finish: epoch: 313 / 500, time cost: 38.97 sec, 
              Loss: [Train: p = 1.01632, q = 1.17871], 
              Loss: [Test: p = 1.02880, q = 1.23704],
              Effect: [ate-q], [train: 0.18516], [test: 0.18628]
********************************************************************************
Finish: epoch: 314 / 500, time cost: 40.53 sec, 
              Loss: [Train: p = 1.01626, q = 1.17833], 
              Loss: [Test: p = 1.02874, q = 1.23766],
              Effect: [ate-q], [train: 0.20184], [test: 0.20298]
********************************************************************************
Finish: epoch: 315 / 500, time cost: 40.40 sec, 
              Loss: [Train: p = 1.01617, q = 1.17818], 
              Loss: [Test: p = 1.02869, q = 1.23779],
              Effect: [ate-q], [train: 0.18680], [test: 0.18796]
********************************************************************************
Finish: epoch: 316 / 500, time cost: 42.20 sec, 
              Loss: [Train: p = 1.01616, q = 1.17757], 
              Loss: [Test: p = 1.02866, q = 1.23814],
              Effect: [ate-q], [train: 0.18794], [test: 0.18911]
********************************************************************************
Finish: epoch: 317 / 500, time cost: 42.69 sec, 
              Loss: [Train: p = 1.01601, q = 1.17702], 
              Loss: [Test: p = 1.02862, q = 1.23761],
              Effect: [ate-q], [train: 0.18693], [test: 0.18811]
********************************************************************************
Finish: epoch: 318 / 500, time cost: 39.90 sec, 
              Loss: [Train: p = 1.01601, q = 1.17650], 
              Loss: [Test: p = 1.02860, q = 1.23843],
              Effect: [ate-q], [train: 0.17822], [test: 0.17940]
********************************************************************************
Finish: epoch: 319 / 500, time cost: 37.46 sec, 
              Loss: [Train: p = 1.01588, q = 1.17612], 
              Loss: [Test: p = 1.02856, q = 1.23816],
              Effect: [ate-q], [train: 0.19607], [test: 0.19728]
********************************************************************************
Finish: epoch: 320 / 500, time cost: 40.72 sec, 
              Loss: [Train: p = 1.01577, q = 1.17613], 
              Loss: [Test: p = 1.02850, q = 1.23859],
              Effect: [ate-q], [train: 0.19155], [test: 0.19276]
********************************************************************************
Finish: epoch: 321 / 500, time cost: 39.28 sec, 
              Loss: [Train: p = 1.01578, q = 1.17584], 
              Loss: [Test: p = 1.02847, q = 1.23883],
              Effect: [ate-q], [train: 0.19095], [test: 0.19216]
********************************************************************************
Finish: epoch: 322 / 500, time cost: 40.86 sec, 
              Loss: [Train: p = 1.01558, q = 1.17481], 
              Loss: [Test: p = 1.02845, q = 1.23792],
              Effect: [ate-q], [train: 0.19509], [test: 0.19631]
********************************************************************************
Finish: epoch: 323 / 500, time cost: 39.50 sec, 
              Loss: [Train: p = 1.01560, q = 1.17485], 
              Loss: [Test: p = 1.02837, q = 1.23877],
              Effect: [ate-q], [train: 0.19029], [test: 0.19153]
********************************************************************************
Finish: epoch: 324 / 500, time cost: 41.50 sec, 
              Loss: [Train: p = 1.01555, q = 1.17440], 
              Loss: [Test: p = 1.02837, q = 1.23872],
              Effect: [ate-q], [train: 0.18380], [test: 0.18504]
********************************************************************************
Finish: epoch: 325 / 500, time cost: 41.36 sec, 
              Loss: [Train: p = 1.01556, q = 1.17384], 
              Loss: [Test: p = 1.02833, q = 1.23895],
              Effect: [ate-q], [train: 0.19465], [test: 0.19591]
********************************************************************************
Finish: epoch: 326 / 500, time cost: 37.72 sec, 
              Loss: [Train: p = 1.01536, q = 1.17351], 
              Loss: [Test: p = 1.02831, q = 1.23870],
              Effect: [ate-q], [train: 0.18251], [test: 0.18377]
********************************************************************************
Finish: epoch: 327 / 500, time cost: 37.69 sec, 
              Loss: [Train: p = 1.01532, q = 1.17369], 
              Loss: [Test: p = 1.02826, q = 1.23890],
              Effect: [ate-q], [train: 0.19327], [test: 0.19454]
********************************************************************************
Finish: epoch: 328 / 500, time cost: 37.64 sec, 
              Loss: [Train: p = 1.01529, q = 1.17247], 
              Loss: [Test: p = 1.02821, q = 1.23927],
              Effect: [ate-q], [train: 0.18535], [test: 0.18664]
********************************************************************************
Finish: epoch: 329 / 500, time cost: 40.07 sec, 
              Loss: [Train: p = 1.01519, q = 1.17239], 
              Loss: [Test: p = 1.02813, q = 1.23942],
              Effect: [ate-q], [train: 0.18611], [test: 0.18739]
********************************************************************************
Finish: epoch: 330 / 500, time cost: 37.70 sec, 
              Loss: [Train: p = 1.01508, q = 1.17180], 
              Loss: [Test: p = 1.02808, q = 1.23929],
              Effect: [ate-q], [train: 0.18750], [test: 0.18880]
********************************************************************************
Finish: epoch: 331 / 500, time cost: 36.66 sec, 
              Loss: [Train: p = 1.01502, q = 1.17155], 
              Loss: [Test: p = 1.02808, q = 1.23971],
              Effect: [ate-q], [train: 0.20067], [test: 0.20201]
********************************************************************************
Finish: epoch: 332 / 500, time cost: 37.80 sec, 
              Loss: [Train: p = 1.01492, q = 1.17118], 
              Loss: [Test: p = 1.02806, q = 1.23970],
              Effect: [ate-q], [train: 0.18669], [test: 0.18802]
********************************************************************************
Finish: epoch: 333 / 500, time cost: 40.22 sec, 
              Loss: [Train: p = 1.01499, q = 1.17113], 
              Loss: [Test: p = 1.02795, q = 1.23975],
              Effect: [ate-q], [train: 0.19526], [test: 0.19659]
********************************************************************************
Finish: epoch: 334 / 500, time cost: 37.77 sec, 
              Loss: [Train: p = 1.01482, q = 1.17267], 
              Loss: [Test: p = 1.02798, q = 1.24006],
              Effect: [ate-q], [train: 0.19284], [test: 0.19419]
********************************************************************************
Finish: epoch: 335 / 500, time cost: 36.96 sec, 
              Loss: [Train: p = 1.01482, q = 1.17049], 
              Loss: [Test: p = 1.02790, q = 1.23995],
              Effect: [ate-q], [train: 0.19836], [test: 0.19973]
********************************************************************************
Finish: epoch: 336 / 500, time cost: 38.10 sec, 
              Loss: [Train: p = 1.01463, q = 1.17111], 
              Loss: [Test: p = 1.02790, q = 1.24059],
              Effect: [ate-q], [train: 0.17938], [test: 0.18074]
********************************************************************************
Finish: epoch: 337 / 500, time cost: 38.17 sec, 
              Loss: [Train: p = 1.01459, q = 1.17106], 
              Loss: [Test: p = 1.02784, q = 1.24053],
              Effect: [ate-q], [train: 0.19240], [test: 0.19378]
********************************************************************************
Finish: epoch: 338 / 500, time cost: 40.20 sec, 
              Loss: [Train: p = 1.01456, q = 1.17088], 
              Loss: [Test: p = 1.02785, q = 1.24136],
              Effect: [ate-q], [train: 0.18905], [test: 0.19043]
********************************************************************************
Finish: epoch: 339 / 500, time cost: 38.13 sec, 
              Loss: [Train: p = 1.01452, q = 1.16999], 
              Loss: [Test: p = 1.02777, q = 1.24109],
              Effect: [ate-q], [train: 0.19384], [test: 0.19524]
********************************************************************************
Finish: epoch: 340 / 500, time cost: 38.02 sec, 
              Loss: [Train: p = 1.01436, q = 1.17054], 
              Loss: [Test: p = 1.02773, q = 1.24120],
              Effect: [ate-q], [train: 0.19135], [test: 0.19276]
********************************************************************************
Finish: epoch: 341 / 500, time cost: 38.18 sec, 
              Loss: [Train: p = 1.01433, q = 1.16982], 
              Loss: [Test: p = 1.02768, q = 1.24107],
              Effect: [ate-q], [train: 0.18821], [test: 0.18963]
********************************************************************************
Finish: epoch: 342 / 500, time cost: 40.10 sec, 
              Loss: [Train: p = 1.01428, q = 1.16926], 
              Loss: [Test: p = 1.02765, q = 1.24205],
              Effect: [ate-q], [train: 0.19955], [test: 0.20098]
********************************************************************************
Finish: epoch: 343 / 500, time cost: 37.77 sec, 
              Loss: [Train: p = 1.01430, q = 1.16887], 
              Loss: [Test: p = 1.02765, q = 1.24149],
              Effect: [ate-q], [train: 0.19149], [test: 0.19294]
********************************************************************************
Finish: epoch: 344 / 500, time cost: 37.84 sec, 
              Loss: [Train: p = 1.01421, q = 1.16810], 
              Loss: [Test: p = 1.02760, q = 1.24198],
              Effect: [ate-q], [train: 0.19166], [test: 0.19310]
********************************************************************************
Finish: epoch: 345 / 500, time cost: 36.60 sec, 
              Loss: [Train: p = 1.01414, q = 1.16765], 
              Loss: [Test: p = 1.02753, q = 1.24199],
              Effect: [ate-q], [train: 0.19492], [test: 0.19638]
********************************************************************************
Finish: epoch: 346 / 500, time cost: 39.66 sec, 
              Loss: [Train: p = 1.01410, q = 1.16755], 
              Loss: [Test: p = 1.02752, q = 1.24187],
              Effect: [ate-q], [train: 0.18998], [test: 0.19143]
********************************************************************************
Finish: epoch: 347 / 500, time cost: 37.78 sec, 
              Loss: [Train: p = 1.01389, q = 1.16726], 
              Loss: [Test: p = 1.02748, q = 1.24255],
              Effect: [ate-q], [train: 0.19898], [test: 0.20047]
********************************************************************************
Finish: epoch: 348 / 500, time cost: 37.79 sec, 
              Loss: [Train: p = 1.01381, q = 1.16668], 
